CaseStudy,WindowMin,WindowMax,Option,Value,Configurations,Pearson-Correlation,Group
exastencils,9.16,10.67,no_explorationId,1,24,-0.210,no_explorationId
exastencils,9.92,11.42,no_explorationId,0,4881,0.744,no_explorationId
exastencils,10.67,12.18,no_explorationId,0,2924,0.727,no_explorationId
exastencils,11.42,12.93,no_explorationId,0,2568,0.759,no_explorationId
exastencils,12.18,13.68,no_explorationId,0,2420,0.713,no_explorationId
exastencils,12.93,14.43,no_explorationId,0,2179,0.724,no_explorationId
exastencils,13.68,15.19,no_explorationId,0,1775,0.662,no_explorationId
exastencils,14.43,15.94,no_explorationId,0,1150,0.672,no_explorationId
exastencils,15.19,16.69,no_explorationId,0,549,0.648,no_explorationId
exastencils,15.94,17.45,no_explorationId,0,191,0.687,no_explorationId
exastencils,16.69,18.20,no_explorationId,0,97,0.726,no_explorationId
exastencils,17.45,18.95,no_explorationId,0,83,0.597,no_explorationId
exastencils,-,-,explorationId,0,42,-0.136,explorationId
exastencils,-,-,explorationId,1,21504,0.988,explorationId
exastencils,-,-,explorationId,2,21504,0.988,explorationId
exastencils,-,-,explorationId,3,21504,0.985,explorationId
exastencils,-,-,explorationId,4,21504,0.985,explorationId
exastencils,4.64,6.15,explorationId,2,4874,0.740,explorationId
exastencils,4.64,6.15,explorationId,4,5996,0.760,explorationId
exastencils,4.64,6.15,explorationId,1,4613,0.745,explorationId
exastencils,4.64,6.15,explorationId,3,5625,0.768,explorationId
exastencils,5.40,6.90,explorationId,3,9014,0.799,explorationId
exastencils,5.40,6.90,explorationId,4,8981,0.792,explorationId
exastencils,5.40,6.90,explorationId,2,7227,0.801,explorationId
exastencils,5.40,6.90,explorationId,1,7053,0.802,explorationId
exastencils,6.15,7.66,explorationId,3,8631,0.783,explorationId
exastencils,6.15,7.66,explorationId,2,6957,0.809,explorationId
exastencils,6.15,7.66,explorationId,4,8126,0.790,explorationId
exastencils,6.15,7.66,explorationId,1,7178,0.806,explorationId
exastencils,6.90,8.41,explorationId,4,5896,0.804,explorationId
exastencils,6.90,8.41,explorationId,1,6467,0.803,explorationId
exastencils,6.90,8.41,explorationId,2,6201,0.811,explorationId
exastencils,6.90,8.41,explorationId,3,6057,0.803,explorationId
exastencils,7.66,9.16,explorationId,4,4028,0.796,explorationId
exastencils,7.66,9.16,explorationId,2,4983,0.788,explorationId
exastencils,7.66,9.16,explorationId,1,4966,0.793,explorationId
exastencils,7.66,9.16,explorationId,3,3771,0.781,explorationId
exastencils,7.66,9.16,explorationId,0,18,0.157,explorationId
exastencils,8.41,9.92,explorationId,3,2666,0.751,explorationId
exastencils,8.41,9.92,explorationId,1,3489,0.744,explorationId
exastencils,8.41,9.92,explorationId,2,3517,0.764,explorationId
exastencils,8.41,9.92,explorationId,4,2901,0.718,explorationId
exastencils,8.41,9.92,explorationId,0,42,-0.136,explorationId
exastencils,9.16,10.67,explorationId,1,2334,0.737,explorationId
exastencils,9.16,10.67,explorationId,2,2366,0.737,explorationId
exastencils,9.16,10.67,explorationId,3,1917,0.731,explorationId
exastencils,9.16,10.67,explorationId,4,1833,0.711,explorationId
exastencils,9.16,10.67,explorationId,0,24,-0.210,explorationId
exastencils,9.92,11.42,explorationId,2,1603,0.732,explorationId
exastencils,9.92,11.42,explorationId,4,824,0.707,explorationId
exastencils,9.92,11.42,explorationId,3,932,0.693,explorationId
exastencils,9.92,11.42,explorationId,1,1522,0.771,explorationId
exastencils,10.67,12.18,explorationId,3,445,0.796,explorationId
exastencils,10.67,12.18,explorationId,2,1003,0.713,explorationId
exastencils,10.67,12.18,explorationId,4,434,0.800,explorationId
exastencils,10.67,12.18,explorationId,1,1042,0.707,explorationId
exastencils,11.42,12.93,explorationId,4,589,0.777,explorationId
exastencils,11.42,12.93,explorationId,1,738,0.753,explorationId
exastencils,11.42,12.93,explorationId,2,717,0.780,explorationId
exastencils,11.42,12.93,explorationId,3,524,0.758,explorationId
exastencils,12.18,13.68,explorationId,3,636,0.724,explorationId
exastencils,12.18,13.68,explorationId,2,574,0.718,explorationId
exastencils,12.18,13.68,explorationId,4,647,0.716,explorationId
exastencils,12.18,13.68,explorationId,1,563,0.707,explorationId
exastencils,12.93,14.43,explorationId,2,514,0.725,explorationId
exastencils,12.93,14.43,explorationId,1,546,0.749,explorationId
exastencils,12.93,14.43,explorationId,4,526,0.737,explorationId
exastencils,12.93,14.43,explorationId,3,593,0.680,explorationId
exastencils,13.68,15.19,explorationId,1,498,0.629,explorationId
exastencils,13.68,15.19,explorationId,4,387,0.696,explorationId
exastencils,13.68,15.19,explorationId,2,468,0.672,explorationId
exastencils,13.68,15.19,explorationId,3,422,0.690,explorationId
exastencils,14.43,15.94,explorationId,4,198,0.626,explorationId
exastencils,14.43,15.94,explorationId,2,352,0.673,explorationId
exastencils,14.43,15.94,explorationId,1,381,0.683,explorationId
exastencils,14.43,15.94,explorationId,3,219,0.624,explorationId
exastencils,15.19,16.69,explorationId,2,203,0.711,explorationId
exastencils,15.19,16.69,explorationId,3,57,0.411,explorationId
exastencils,15.19,16.69,explorationId,1,236,0.623,explorationId
exastencils,15.19,16.69,explorationId,4,53,0.428,explorationId
exastencils,15.94,17.45,explorationId,4,10,0.153,explorationId
exastencils,15.94,17.45,explorationId,1,90,0.687,explorationId
exastencils,15.94,17.45,explorationId,3,6,0.014,explorationId
exastencils,15.94,17.45,explorationId,2,85,0.653,explorationId
exastencils,16.69,18.20,explorationId,2,49,0.704,explorationId
exastencils,16.69,18.20,explorationId,1,48,0.741,explorationId
exastencils,17.45,18.95,explorationId,1,42,0.591,explorationId
exastencils,17.45,18.95,explorationId,2,41,0.608,explorationId
exastencils,-,-,poly_tileSize_x,0,10794,0.963,poly_tileSize_x
exastencils,-,-,poly_tileSize_x,8,10752,0.990,poly_tileSize_x
exastencils,-,-,poly_tileSize_x,10,10752,0.987,poly_tileSize_x
exastencils,-,-,poly_tileSize_x,16,10752,0.977,poly_tileSize_x
exastencils,-,-,poly_tileSize_x,20,10752,0.972,poly_tileSize_x
exastencils,-,-,poly_tileSize_x,32,10752,0.957,poly_tileSize_x
exastencils,-,-,poly_tileSize_x,64,10752,0.947,poly_tileSize_x
exastencils,-,-,poly_tileSize_x,128,10752,0.958,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,0,7515,0.695,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,128,5839,0.631,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,64,3367,0.620,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,32,2076,0.612,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,16,1050,0.515,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,20,1074,0.537,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,10,126,0.110,poly_tileSize_x
exastencils,4.64,6.15,poly_tileSize_x,8,61,0.502,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,0,3593,0.712,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,128,7680,0.750,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,64,6905,0.799,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,32,5091,0.773,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,16,2948,0.757,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,20,3626,0.760,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,10,1385,0.556,poly_tileSize_x
exastencils,5.40,6.90,poly_tileSize_x,8,1047,0.578,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,16,4417,0.791,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,0,1845,0.847,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,32,5617,0.790,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,128,3583,0.805,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,64,5788,0.786,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,20,5057,0.776,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,8,1915,0.752,poly_tileSize_x
exastencils,6.15,7.66,poly_tileSize_x,10,2670,0.787,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,32,4216,0.810,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,16,4007,0.769,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,20,3946,0.814,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,10,2857,0.798,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,64,3079,0.806,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,8,2408,0.798,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,128,1460,0.837,poly_tileSize_x
exastencils,6.90,8.41,poly_tileSize_x,0,2648,0.813,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,20,2913,0.789,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,16,2490,0.815,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,32,2597,0.790,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,10,3183,0.767,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,64,1394,0.768,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,0,1410,0.551,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,8,2785,0.814,poly_tileSize_x
exastencils,7.66,9.16,poly_tileSize_x,128,994,0.814,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,32,1217,0.745,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,10,2863,0.741,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,64,582,0.767,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,8,2435,0.691,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,128,774,0.777,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,20,2430,0.746,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,16,2270,0.743,poly_tileSize_x
exastencils,8.41,9.92,poly_tileSize_x,0,44,0.371,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,32,443,0.731,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,20,1405,0.767,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,10,1710,0.754,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,16,2056,0.726,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,8,2307,0.703,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,128,336,0.788,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,64,193,0.717,poly_tileSize_x
exastencils,9.16,10.67,poly_tileSize_x,0,24,-0.210,poly_tileSize_x
exastencils,9.92,11.42,poly_tileSize_x,8,1787,0.745,poly_tileSize_x
exastencils,9.92,11.42,poly_tileSize_x,10,912,0.727,poly_tileSize_x
exastencils,9.92,11.42,poly_tileSize_x,16,1212,0.767,poly_tileSize_x
exastencils,9.92,11.42,poly_tileSize_x,20,692,0.812,poly_tileSize_x
exastencils,9.92,11.42,poly_tileSize_x,32,160,0.560,poly_tileSize_x
exastencils,9.92,11.42,poly_tileSize_x,128,65,0.623,poly_tileSize_x
exastencils,9.92,11.42,poly_tileSize_x,64,53,0.588,poly_tileSize_x
exastencils,10.67,12.18,poly_tileSize_x,10,1097,0.679,poly_tileSize_x
exastencils,10.67,12.18,poly_tileSize_x,8,827,0.659,poly_tileSize_x
exastencils,10.67,12.18,poly_tileSize_x,16,675,0.812,poly_tileSize_x
exastencils,10.67,12.18,poly_tileSize_x,20,296,0.699,poly_tileSize_x
exastencils,10.67,12.18,poly_tileSize_x,64,10,0.433,poly_tileSize_x
exastencils,10.67,12.18,poly_tileSize_x,32,19,0.697,poly_tileSize_x
exastencils,11.42,12.93,poly_tileSize_x,8,525,0.764,poly_tileSize_x
exastencils,11.42,12.93,poly_tileSize_x,20,58,0.516,poly_tileSize_x
exastencils,11.42,12.93,poly_tileSize_x,10,1673,0.767,poly_tileSize_x
exastencils,11.42,12.93,poly_tileSize_x,16,310,0.732,poly_tileSize_x
exastencils,11.42,12.93,poly_tileSize_x,32,2,1.000,poly_tileSize_x
exastencils,12.18,13.68,poly_tileSize_x,10,1453,0.724,poly_tileSize_x
exastencils,12.18,13.68,poly_tileSize_x,8,896,0.663,poly_tileSize_x
exastencils,12.18,13.68,poly_tileSize_x,16,64,0.611,poly_tileSize_x
exastencils,12.18,13.68,poly_tileSize_x,20,7,0.775,poly_tileSize_x
exastencils,12.93,14.43,poly_tileSize_x,10,843,0.697,poly_tileSize_x
exastencils,12.93,14.43,poly_tileSize_x,8,1331,0.732,poly_tileSize_x
exastencils,12.93,14.43,poly_tileSize_x,16,5,0.662,poly_tileSize_x
exastencils,13.68,15.19,poly_tileSize_x,10,410,0.718,poly_tileSize_x
exastencils,13.68,15.19,poly_tileSize_x,8,1365,0.647,poly_tileSize_x
exastencils,14.43,15.94,poly_tileSize_x,8,974,0.672,poly_tileSize_x
exastencils,14.43,15.94,poly_tileSize_x,10,176,0.692,poly_tileSize_x
exastencils,15.19,16.69,poly_tileSize_x,8,461,0.611,poly_tileSize_x
exastencils,15.19,16.69,poly_tileSize_x,10,88,0.767,poly_tileSize_x
exastencils,15.94,17.45,poly_tileSize_x,8,153,0.685,poly_tileSize_x
exastencils,15.94,17.45,poly_tileSize_x,10,38,0.668,poly_tileSize_x
exastencils,16.69,18.20,poly_tileSize_x,8,82,0.735,poly_tileSize_x
exastencils,16.69,18.20,poly_tileSize_x,10,15,0.646,poly_tileSize_x
exastencils,17.45,18.95,poly_tileSize_x,8,78,0.590,poly_tileSize_x
exastencils,17.45,18.95,poly_tileSize_x,10,5,0.476,poly_tileSize_x
exastencils,-,-,poly_tileSize_y,0,10794,0.959,poly_tileSize_y
exastencils,-,-,poly_tileSize_y,8,10752,0.993,poly_tileSize_y
exastencils,-,-,poly_tileSize_y,10,10752,0.992,poly_tileSize_y
exastencils,-,-,poly_tileSize_y,16,10752,0.984,poly_tileSize_y
exastencils,-,-,poly_tileSize_y,20,10752,0.981,poly_tileSize_y
exastencils,-,-,poly_tileSize_y,32,10752,0.971,poly_tileSize_y
exastencils,-,-,poly_tileSize_y,64,10752,0.960,poly_tileSize_y
exastencils,-,-,poly_tileSize_y,128,10752,0.947,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,32,3552,0.791,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,20,2928,0.774,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,8,1800,0.745,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,16,2577,0.758,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,64,4583,0.695,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,10,1721,0.723,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,128,3224,0.617,poly_tileSize_y
exastencils,4.64,6.15,poly_tileSize_y,0,723,0.572,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,64,6706,0.811,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,20,3631,0.804,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,128,6410,0.781,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,32,4966,0.794,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,16,3056,0.778,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,10,2405,0.797,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,8,2319,0.789,poly_tileSize_y
exastencils,5.40,6.90,poly_tileSize_y,0,2782,0.736,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,128,6007,0.805,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,64,4498,0.772,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,20,3787,0.793,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,10,2247,0.814,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,32,4386,0.800,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,0,4446,0.777,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,16,3420,0.806,poly_tileSize_y
exastencils,6.15,7.66,poly_tileSize_y,8,2101,0.808,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,32,3297,0.784,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,16,3100,0.793,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,0,5482,0.833,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,20,2901,0.813,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,64,2523,0.831,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,8,1706,0.769,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,128,3583,0.750,poly_tileSize_y
exastencils,6.90,8.41,poly_tileSize_y,10,2029,0.805,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,16,2085,0.848,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,8,1647,0.812,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,0,4716,0.782,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,128,1294,0.790,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,10,2122,0.789,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,32,2202,0.807,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,64,1374,0.775,poly_tileSize_y
exastencils,7.66,9.16,poly_tileSize_y,20,2326,0.796,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,10,2209,0.768,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,128,571,0.770,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,20,2174,0.766,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,8,1941,0.779,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,32,1071,0.747,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,16,1833,0.738,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,0,2236,0.750,poly_tileSize_y
exastencils,8.41,9.92,poly_tileSize_y,64,580,0.775,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,8,1886,0.749,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,16,1866,0.735,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,10,1554,0.773,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,32,489,0.697,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,20,1377,0.740,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,0,865,0.778,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,64,234,0.723,poly_tileSize_y
exastencils,9.16,10.67,poly_tileSize_y,128,203,0.789,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,16,1398,0.788,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,20,721,0.690,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,8,1219,0.783,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,10,888,0.767,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,64,120,0.727,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,32,148,0.776,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,0,282,0.577,poly_tileSize_y
exastencils,9.92,11.42,poly_tileSize_y,128,105,0.624,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,16,682,0.634,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,32,105,0.783,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,8,594,0.802,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,128,24,0.268,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,0,44,-0.014,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,10,1165,0.701,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,20,247,0.754,poly_tileSize_y
exastencils,10.67,12.18,poly_tileSize_y,64,63,0.641,poly_tileSize_y
exastencils,11.42,12.93,poly_tileSize_y,16,238,0.745,poly_tileSize_y
exastencils,11.42,12.93,poly_tileSize_y,8,845,0.650,poly_tileSize_y
exastencils,11.42,12.93,poly_tileSize_y,10,1300,0.789,poly_tileSize_y
exastencils,11.42,12.93,poly_tileSize_y,32,75,0.561,poly_tileSize_y
exastencils,11.42,12.93,poly_tileSize_y,20,104,0.731,poly_tileSize_y
exastencils,11.42,12.93,poly_tileSize_y,64,6,0.969,poly_tileSize_y
exastencils,12.18,13.68,poly_tileSize_y,8,1037,0.708,poly_tileSize_y
exastencils,12.18,13.68,poly_tileSize_y,32,18,0.136,poly_tileSize_y
exastencils,12.18,13.68,poly_tileSize_y,10,1204,0.705,poly_tileSize_y
exastencils,12.18,13.68,poly_tileSize_y,20,84,0.808,poly_tileSize_y
exastencils,12.18,13.68,poly_tileSize_y,16,77,0.784,poly_tileSize_y
exastencils,12.93,14.43,poly_tileSize_y,8,1035,0.715,poly_tileSize_y
exastencils,12.93,14.43,poly_tileSize_y,10,1048,0.712,poly_tileSize_y
exastencils,12.93,14.43,poly_tileSize_y,16,62,0.538,poly_tileSize_y
exastencils,12.93,14.43,poly_tileSize_y,20,34,0.282,poly_tileSize_y
exastencils,13.68,15.19,poly_tileSize_y,8,1137,0.649,poly_tileSize_y
exastencils,13.68,15.19,poly_tileSize_y,16,45,0.549,poly_tileSize_y
exastencils,13.68,15.19,poly_tileSize_y,10,590,0.691,poly_tileSize_y
exastencils,13.68,15.19,poly_tileSize_y,20,3,-0.435,poly_tileSize_y
exastencils,14.43,15.94,poly_tileSize_y,8,833,0.684,poly_tileSize_y
exastencils,14.43,15.94,poly_tileSize_y,10,296,0.630,poly_tileSize_y
exastencils,14.43,15.94,poly_tileSize_y,16,21,-0.089,poly_tileSize_y
exastencils,15.19,16.69,poly_tileSize_y,8,466,0.623,poly_tileSize_y
exastencils,15.19,16.69,poly_tileSize_y,10,83,0.752,poly_tileSize_y
exastencils,15.94,17.45,poly_tileSize_y,8,141,0.659,poly_tileSize_y
exastencils,15.94,17.45,poly_tileSize_y,10,50,0.560,poly_tileSize_y
exastencils,16.69,18.20,poly_tileSize_y,10,49,0.637,poly_tileSize_y
exastencils,16.69,18.20,poly_tileSize_y,8,48,0.824,poly_tileSize_y
exastencils,17.45,18.95,poly_tileSize_y,10,35,0.784,poly_tileSize_y
exastencils,17.45,18.95,poly_tileSize_y,8,48,0.552,poly_tileSize_y
exastencils,-,-,poly_tileSize_z,0,10794,0.988,poly_tileSize_z
exastencils,-,-,poly_tileSize_z,8,10752,0.986,poly_tileSize_z
exastencils,-,-,poly_tileSize_z,10,10752,0.986,poly_tileSize_z
exastencils,-,-,poly_tileSize_z,16,10752,0.986,poly_tileSize_z
exastencils,-,-,poly_tileSize_z,20,10752,0.986,poly_tileSize_z
exastencils,-,-,poly_tileSize_z,32,10752,0.986,poly_tileSize_z
exastencils,-,-,poly_tileSize_z,64,10752,0.987,poly_tileSize_z
exastencils,-,-,poly_tileSize_z,128,10752,0.987,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,0,2053,0.786,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,128,2135,0.780,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,64,2487,0.759,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,32,2908,0.750,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,20,3052,0.752,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,16,3003,0.757,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,10,2806,0.719,poly_tileSize_z
exastencils,4.64,6.15,poly_tileSize_z,8,2664,0.703,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,20,4294,0.792,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,16,4335,0.797,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,0,2840,0.797,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,10,4547,0.800,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,64,3982,0.795,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,32,4311,0.796,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,8,4591,0.793,poly_tileSize_z
exastencils,5.40,6.90,poly_tileSize_z,128,3375,0.803,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,64,3960,0.791,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,32,3852,0.804,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,8,4226,0.787,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,0,3165,0.800,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,10,4142,0.796,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,20,3828,0.798,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,16,3921,0.807,poly_tileSize_z
exastencils,6.15,7.66,poly_tileSize_z,128,3798,0.790,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,10,2992,0.802,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,128,3415,0.816,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,20,2941,0.802,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,8,3042,0.795,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,32,2937,0.810,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,0,3127,0.814,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,16,2987,0.799,poly_tileSize_z
exastencils,6.90,8.41,poly_tileSize_z,64,3180,0.812,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,20,2089,0.799,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,64,2268,0.773,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,10,2024,0.801,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,0,2620,0.795,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,8,2015,0.797,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,128,2609,0.781,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,32,2079,0.790,poly_tileSize_z
exastencils,7.66,9.16,poly_tileSize_z,16,2062,0.785,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,64,1591,0.735,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,128,1856,0.749,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,20,1451,0.722,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,0,2060,0.756,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,8,1387,0.744,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,10,1379,0.757,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,32,1469,0.736,poly_tileSize_z
exastencils,8.41,9.92,poly_tileSize_z,16,1422,0.721,poly_tileSize_z
exastencils,9.16,10.67,poly_tileSize_z,8,942,0.706,poly_tileSize_z
exastencils,9.16,10.67,poly_tileSize_z,128,1226,0.750,poly_tileSize_z
